,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,split5_train_precision,split6_train_precision,split7_train_precision,split8_train_precision,split9_train_precision,mean_train_precision,std_train_precision,split0_test_recall_score,split1_test_recall_score,split2_test_recall_score,split3_test_recall_score,split4_test_recall_score,split5_test_recall_score,split6_test_recall_score,split7_test_recall_score,split8_test_recall_score,split9_test_recall_score,mean_test_recall_score,std_test_recall_score,rank_test_recall_score,split0_train_recall_score,split1_train_recall_score,split2_train_recall_score,split3_train_recall_score,split4_train_recall_score,split5_train_recall_score,split6_train_recall_score,split7_train_recall_score,split8_train_recall_score,split9_train_recall_score,mean_train_recall_score,std_train_recall_score
0,6.180562520027161,0.6486888584785214,0.02860565185546875,0.005998093939019402,"{0: 1, 1: 1.0}","{'class_weight': {0: 1, 1: 1.0}}",1.0,0.4634146341463415,0.5833333333333334,1.0,1.0,0.9444444444444444,1.0,0.8181818181818182,0.0,1.0,0.7809374230105938,0.31902901287810426,29,0.8043478260869565,0.9172413793103448,0.8409090909090909,0.7578125,0.7593984962406015,0.7481481481481481,0.7388059701492538,0.7659574468085106,0.7619047619047619,0.7535211267605634,0.784804674631823,0.05268874504805176,0.3684210526315789,1.0,0.7368421052631579,0.47368421052631576,0.35,0.85,0.9,0.45,0.0,0.4,0.5528947368421052,0.293874325373234,30,0.6271186440677966,0.751412429378531,0.6271186440677966,0.5480225988700564,0.5738636363636364,0.5738636363636364,0.5625,0.6136363636363636,0.6363636363636364,0.6079545454545454,0.6121854134566,0.054733336244069154
1,5.174531388282776,0.5342639099746187,0.02879912853240967,0.005228285484248131,"{0: 1, 1: 1.6551724137931034}","{'class_weight': {0: 1, 1: 1.6551724137931034}}",1.0,0.4634146341463415,0.5833333333333334,1.0,1.0,0.9444444444444444,1.0,0.8333333333333334,1.0,1.0,0.8824525745257453,0.18820871157680907,1,0.7682119205298014,0.9230769230769231,0.8287671232876712,0.7655172413793103,0.7763157894736842,0.7702702702702703,0.7602739726027398,0.7857142857142857,0.7784810126582279,0.7756410256410257,0.7932269564633939,0.0469038823754013,0.42105263157894735,1.0,0.7368421052631579,0.7894736842105263,0.35,0.85,0.95,0.5,0.25,0.5,0.6347368421052632,0.24991632948879583,29,0.655367231638418,0.8135593220338984,0.6836158192090396,0.6271186440677966,0.6704545454545454,0.6477272727272727,0.6306818181818182,0.6875,0.6988636363636364,0.6875,0.6802388289676425,0.05028625239878473
2,4.9652503490447994,0.5183091318681607,0.03289217948913574,0.00834579335680402,"{0: 1, 1: 2.310344827586207}","{'class_weight': {0: 1, 1: 2.310344827586207}}",1.0,0.4634146341463415,0.5833333333333334,1.0,1.0,0.9444444444444444,1.0,0.8333333333333334,1.0,1.0,0.8824525745257453,0.18820871157680907,1,0.7784810126582279,0.9197530864197531,0.8397435897435898,0.7756410256410257,0.7861635220125787,0.7834394904458599,0.7756410256410257,0.7924528301886793,0.7891566265060241,0.7852760736196319,0.8025748282876396,0.04284959093649254,0.42105263157894735,1.0,0.7368421052631579,0.8421052631578947,0.4,0.85,0.95,0.5,0.25,0.55,0.65,0.24583793053278546,28,0.6949152542372882,0.8418079096045198,0.7401129943502824,0.6836158192090396,0.7102272727272727,0.6988636363636364,0.6875,0.7159090909090909,0.7443181818181818,0.7272727272727273,0.7244542886492039,0.043881487810116096
3,5.465050387382507,0.5454910433713897,0.029979705810546875,0.00611691117586736,"{0: 1, 1: 2.9655172413793105}","{'class_weight': {0: 1, 1: 2.9655172413793105}}",1.0,0.4523809523809524,0.5833333333333334,1.0,1.0,0.9444444444444444,1.0,0.8333333333333334,1.0,1.0,0.8813492063492063,0.1906782162748372,3,0.7763975155279503,0.9197530864197531,0.8475609756097561,0.78125,0.793939393939394,0.7914110429447853,0.782608695652174,0.8012048192771084,0.7953216374269005,0.7878787878787878,0.8077325954676609,0.04182915083978789,0.631578947368421,1.0,0.7368421052631579,0.8421052631578947,0.4,0.85,0.95,0.5,0.25,0.65,0.6810526315789474,0.23079052391287175,27,0.7062146892655368,0.8418079096045198,0.7853107344632768,0.7062146892655368,0.7443181818181818,0.7329545454545454,0.7159090909090909,0.7556818181818182,0.7727272727272727,0.7386363636363636,0.7499775295326143,0.03958889608631281
4,4.59574601650238,1.2561228817311887,0.04926502704620361,0.02731269768498508,"{0: 1, 1: 3.6206896551724137}","{'class_weight': {0: 1, 1: 3.6206896551724137}}",1.0,0.4523809523809524,0.5833333333333334,1.0,1.0,0.9444444444444444,1.0,0.8333333333333334,1.0,0.9285714285714286,0.8742063492063492,0.18740959019579148,6,0.7904191616766467,0.9207317073170732,0.8488372093023255,0.7891566265060241,0.7916666666666666,0.793939393939394,0.7852760736196319,0.8058823529411765,0.7976878612716763,0.7928994082840237,0.8116496461524638,0.04028248091134393,0.7894736842105263,1.0,0.7368421052631579,0.8947368421052632,0.45,0.85,0.95,0.5,0.3,0.65,0.7121052631578947,0.22041323567298265,26,0.7457627118644068,0.8531073446327684,0.8248587570621468,0.7401129943502824,0.7556818181818182,0.7443181818181818,0.7272727272727273,0.7784090909090909,0.7840909090909091,0.7613636363636364,0.7714978171545969,0.0379586589529974
5,5.32170341014862,0.5576848384956896,0.03168501853942871,0.016513774324899127,"{0: 1, 1: 4.275862068965517}","{'class_weight': {0: 1, 1: 4.275862068965517}}",1.0,0.4523809523809524,0.5833333333333334,1.0,1.0,0.9444444444444444,1.0,0.8333333333333334,1.0,0.9333333333333333,0.8746825396825397,0.18755311668896096,5,0.7941176470588235,0.9207317073170732,0.8465909090909091,0.7953216374269005,0.7965116279069767,0.8034682080924855,0.7953216374269005,0.8081395348837209,0.8,0.7953216374269005,0.815552454663069,0.03810351957722642,0.8947368421052632,1.0,0.7368421052631579,0.8947368421052632,0.45,0.85,0.95,0.5,0.35,0.7,0.7326315789473684,0.21599861495400813,25,0.7627118644067796,0.8531073446327684,0.8418079096045198,0.768361581920904,0.7784090909090909,0.7897727272727273,0.7727272727272727,0.7897727272727273,0.7954545454545454,0.7727272727272727,0.7924852336928608,0.02928923833177998
6,4.064458274841309,0.5883619198947302,0.020446252822875977,0.00418838441390371,"{0: 1, 1: 4.931034482758621}","{'class_weight': {0: 1, 1: 4.931034482758621}}",1.0,0.4523809523809524,0.5833333333333334,1.0,1.0,0.9444444444444444,1.0,0.8461538461538461,1.0,0.9411764705882353,0.8767489046900812,0.1875645685875012,4,0.8022598870056498,0.9207317073170732,0.847457627118644,0.8022598870056498,0.7988505747126436,0.8135593220338984,0.8011363636363636,0.8103448275862069,0.8044692737430168,0.7988505747126436,0.819992004487179,0.03627197544485861,0.8947368421052632,1.0,0.7368421052631579,0.8947368421052632,0.45,0.85,0.95,0.55,0.35,0.8,0.7476315789473683,0.21142718437710134,24,0.8022598870056498,0.8531073446327684,0.847457627118644,0.8022598870056498,0.7897727272727273,0.8181818181818182,0.8011363636363636,0.8011363636363636,0.8181818181818182,0.7897727272727273,0.8123266563944529,0.021062525750395952
7,4.540066766738891,0.5762158466338951,0.03820598125457764,0.018998874780846838,"{0: 1, 1: 5.586206896551724}","{'class_weight': {0: 1, 1: 5.586206896551724}}",1.0,0.4523809523809524,0.5833333333333334,1.0,1.0,0.8947368421052632,1.0,0.8571428571428571,1.0,0.9411764705882353,0.8728770455550642,0.18623747749740024,7,0.8044692737430168,0.9107142857142857,0.847457627118644,0.8044692737430168,0.8021978021978022,0.8111111111111111,0.7988826815642458,0.8114285714285714,0.8076923076923077,0.8044692737430168,0.8202892208056017,0.032821634960775836,0.8947368421052632,1.0,0.7368421052631579,0.9473684210526315,0.45,0.85,1.0,0.6,0.35,0.8,0.7628947368421053,0.21642861060937557,23,0.8135593220338984,0.864406779661017,0.847457627118644,0.8135593220338984,0.8295454545454546,0.8295454545454546,0.8125,0.8068181818181818,0.8352272727272727,0.8181818181818182,0.8270801232665639,0.01719006670391119
8,5.03074893951416,0.6559480737077875,0.040024304389953615,0.02108562317391295,"{0: 1, 1: 6.241379310344827}","{'class_weight': {0: 1, 1: 6.241379310344827}}",0.9444444444444444,0.4523809523809524,0.5833333333333334,0.9473684210526315,1.0,0.8947368421052632,1.0,0.875,1.0,0.9411764705882353,0.8638440463904861,0.18003759003917796,8,0.8111111111111111,0.9053254437869822,0.8379888268156425,0.8066298342541437,0.8054054054054054,0.8121546961325967,0.8011049723756906,0.8111111111111111,0.8074866310160428,0.8066298342541437,0.820494786626287,0.02984172568987762,0.8947368421052632,1.0,0.7368421052631579,0.9473684210526315,0.5,0.85,1.0,0.7,0.4,0.8,0.7828947368421052,0.19345685311360902,22,0.8248587570621468,0.864406779661017,0.847457627118644,0.8248587570621468,0.8465909090909091,0.8352272727272727,0.8238636363636364,0.8295454545454546,0.8579545454545454,0.8295454545454546,0.8384309193631229,0.013974131150412118
9,3.8282182216644287,0.8313190542359599,0.03252079486846924,0.017670081451970625,"{0: 1, 1: 6.896551724137931}","{'class_weight': {0: 1, 1: 6.896551724137931}}",0.9444444444444444,0.4523809523809524,0.5833333333333334,0.9473684210526315,1.0,0.85,1.0,0.875,1.0,0.9411764705882353,0.8593703621799597,0.17976998986493353,9,0.8097826086956522,0.8947368421052632,0.8388888888888889,0.8076923076923077,0.8054054054054054,0.8121546961325967,0.8021978021978022,0.8121546961325967,0.8085106382978723,0.8097826086956522,0.8201306494244036,0.026622373888350488,0.8947368421052632,1.0,0.7368421052631579,0.9473684210526315,0.5,0.85,1.0,0.7,0.5,0.8,0.7928947368421052,0.17512184124140082,20,0.8418079096045198,0.864406779661017,0.8531073446327684,0.8305084745762712,0.8465909090909091,0.8352272727272727,0.8295454545454546,0.8352272727272727,0.8636363636363636,0.8465909090909091,0.8446648690292757,0.012015216025059757
